phrase_woodruff,phrases_scriptures,similarity_scores,verse_title
and the love of god our father and the grace of jesus christ our lord,the love of god which is in christ jesus our lord,0.7345527420743371,Romans 8:39
if that sin is not unto death their is a sin unto death which we,all unrighteousness is sin and there is a sin not unto death,0.7335899245221308,1 John 5:17
for man to enter into this kingdom of god those who seek to enter in,for a rich man to enter into the kingdom of god,0.7300712860103191,Mark 10:25
taken from the jews and given to a nation bringing forth the fruits there of,given to a nation bringing forth the fruits thereof,0.7281982412105175,Matthew 21:43
"of the lords prayer ""may thy kingdom come and thy will be done on earth",thy kingdom come thy will be done in earth as it is in heaven,0.7277205805957054,Matthew 6:10
is power in the charters of nauvoo shall be saved he that believeth not shall,he that believeth and is baptized shall be saved but he that believeth not shall be damned,0.7269885606319377,Mark 16:16
manifest around me every day joseph laying on of hands laying on of hands with,the laying on of the hands of the presbytery,0.7246959568618108,1 Timothy 4:14
i sit as a queen am no widow and shall see no sorrow the revelator,her for she saith in her heart i sit a queen and am no widow and shall see no sorrow,0.7246921310309522,Revelation 18:7
ye latter day saints do ye not know these things are true you do and,if ye know these things happy are ye if ye do them,0.723989797589908,John 13:17
to bear witness of that light he told the people that his mission was to,he was not that light but was sent to bear witness of that light,0.7238272148283488,John 1:8
and the love of god our father and the grace of jesus christ our lord,the grace of the lord jesus christ and the love of god and the communion,0.7230807292027676,2 Corinthians 13:14
as a hen gathereth her chickens under wings but ye would not and he then,her chickens under her wings and ye would not!,0.7220496177992215,Matthew 23:37
the father is in the son and the son in the father in the tabernacle,son is but the father and who the father is but the son and he to whom the son will reveal him,0.7210684152804006,Luke 10:22
a few of the people and spent the night i laying on of hands upon,the laying on of the hands of the presbytery,0.719437057785338,1 Timothy 4:14
thou shalt labour in the temple of the lord thy god thou shalt teach thy,written thou shalt worship the lord thy god and him only shalt thou serve,0.719136745241569,Luke 4:8
and the love of god our father and the grace of jesus christ our lord,in him according to the grace of our god and the lord jesus christ,0.7184630389088408,2 Thessalonians 1:12
they had upon the mark or the prize of the high calling in christ jesus,i press toward the mark for the prize of the high calling of god in christ jesus,0.7180137341557707,Philippians 3:14
first time are you called to walk by faith not by sight for always before,for we walk by faith not by sight,0.7158145109347336,2 Corinthians 5:7
for man to enter into this kingdom of god those who seek to enter in,a rich man to enter into the kingdom of god,0.7154040652358037,Luke 18:25
word of god and the testimony of jesus christ and joseph smith jr has proved,word of god and for the testimony of jesus christ,0.714823931933858,Revelation 1:9
ancient apostles and prophets christ jesus being the chief corner stone in the church is,and are built upon the foundation of the apostles and prophets jesus christ himself being the chief corner stone,0.7142012831227756,Ephesians 2:20
the mouth of all the holy apostles and prophets since the world began which may,hath spoken by the mouth of all his holy prophets since the world began,0.713878548168755,Acts 3:21
thou shalt be a comfort unto them thou shalt be baptized the day thou art,whither thou wouldest but when thou shalt be old thou shalt stretch forth thy hands,0.7135466744483978,John 21:18
in bonds or imprisionment for the word of god and testimony of jesus christ the,word of god and for the testimony of jesus christ,0.7133926272907072,Revelation 1:9
wilderness prepare ye the way of the lord and make his paths strait and they,of one crying in the wilderness prepare ye the way of the lord make his paths straight,0.7132245929133432,Matthew 3:3
and the love of god our father and the grace of jesus christ our lord,grace unto you and peace from god our father and the lord jesus christ,0.713040678487543,2 Thessalonians 1:2
ate it it was in my mouth sweet as honey but in my belly it,and it was in my mouth sweet as honey and as soon as i had eaten it my belly was bitter,0.712842298682355,Revelation 10:10
been shed for the word of god and testimony of jesus christ cries from the,word of god and for the testimony of jesus christ,0.7109010887469165,Revelation 1:9
of your sins but he said repent therefore and be converted that your sins may,repent ye therefore and be converted that your sins may be blotted out when the,0.7104940475806739,Acts 3:19
of sickness by the laying on of hands in the name of the lord i,the laying on of the hands of the presbytery,0.7102872765107864,1 Timothy 4:14
and what i the lord say unto you mine apostles i say unto my servants,and what i say unto you i say unto all watch,0.70883273314502,Mark 13:37
the way prepared for the coming of the son of man it will be soon,the coming of the son of man be,0.7063772037995047,Matthew 24:39
defence of the truth and for the word of god and the testimony of jesus,word of god and for the testimony of jesus christ,0.7056771720785319,Revelation 1:9
unto thee thou shalt have part in the first resurrection and thou shalt come forth,and thou shalt be blessed for they cannot recompense thee for thou shalt be recompensed at the resurrection of the just,0.7054166518817041,Luke 14:14
and the love of god our father and the grace of jesus christ our lord,the grace of our lord jesus christ be with you,0.7039812851981646,1 Corinthians 16:23
my laws and the gates of hell shall not prevail against you fear not for,will build my church and the gates of hell shall not prevail against it,0.7031227858389062,Matthew 16:18
spake as they were moved upon by the holy ghost isaiah soul seemed to be,men of god spake as they were moved by the holy ghost,0.6999575666567471,2 Peter 1:21
by the laying on of hands i went to the field in the evening we,the laying on of the hands of the presbytery,0.6987662215479876,1 Timothy 4:14
unto thee thou shalt have part in the first resurrection and thou shalt come forth,thou shalt not watch i will come on thee as a thief and thou shalt,0.6983288445139335,Revelation 3:3
not forgive ^it^ for i cannot if the lord will forgive you i will forgive,and forgive us our debts as we forgive our debtors,0.6951967690852331,Matthew 6:12
thou shalt be a comfort unto them thou shalt be baptized the day thou art,and thou child shalt be called the prophet of the highest for thou shalt go,0.6934450217251475,Luke 1:76
the mouth of all the holy apostles and prophets since the world began which may,as he spake by the mouth of his holy prophets which have been since the world began,0.692910525649614,Luke 1:70
touching any thing and ask the father in my name it shall be given unto,touching any thing that they shall ask it shall be done for them of my father which is in heaven,0.6919347463283645,Matthew 18:19
if they love me they will keep my commandments if you want to be a,if ye love me keep my commandments,0.6867747581951862,John 14:15
and the love of god our father and the grace of jesus christ our lord,in our lord jesus christ in the sight of god and our father,0.6856015705246135,1 Thessalonians 1:3
and the love of god our father and the grace of jesus christ our lord,grace be to you and peace from god our father and from the lord jesus christ,0.6853265226094934,2 Corinthians 1:2
and the love of god our father and the grace of jesus christ our lord,grace be to you and peace from god our father and from the lord jesus christ,0.6853265226094934,Ephesians 1:2
and the love of god our father and the grace of jesus christ our lord,grace be to you and peace from god the father and from our lord jesus christ,0.6853265226094934,Galatians 1:3
himself a living sac rifice holy and acceptable unto god which is his reasonable service,a living sacrifice holy acceptable unto god which is your reasonable service,0.6852967221268317,Romans 12:1
seal in the presence of god and the lamb and holy angels that they should,fire and brimstone in the presence of the holy angels and in the presence of the lamb,0.6851093022642304,Revelation 14:10
seals their condemnation which lingereth not and their damnation which slumbereth not therefore they cannot,of a long time lingereth not and their damnation slumbereth not,0.6850748888626771,2 Peter 2:3
thou shalt labour in the temple of the lord thy god thou shalt teach thy,whither thou wouldest but when thou shalt be old thou shalt stretch forth thy hands,0.684570094768718,John 21:18
wilderness prepare ye the way of the lord and make his paths strait and they,the voice of one crying in the wilderness prepare ye the way of the lord make his paths straight,0.6828572773204514,Luke 3:4
wilderness prepare ye the way of the lord and make his paths strait and they,the voice of one crying in the wilderness prepare ye the way of the lord make his paths straight,0.6828572773204514,Mark 1:3
wilderness crying out repent ye for the kingdom of heaven is at hand as much,and saying repent ye for the kingdom of heaven is at hand,0.6822275532665966,Matthew 3:2
were ministering spirits to them who should be heirs of salvation in the afternoon george,are they not all ministering spirits sent forth to minister for them who shall be heirs of salvation,0.6808985076508223,Hebrews 1:14
calling and the gift of the holy ghost ^and power^ of the holy ghost agreeable,and of the son and of the holy ghost,0.6804066098272249,Matthew 28:19
ye will live godly in christ jesus ye shall suffer persecution this kingdom has to,yea and all that will live godly in christ jesus shall suffer persecution,0.6803344194544442,2 Timothy 3:12
and returned to the city 6 m i laying on of hands upon the daughter,the laying on of the hands of the presbytery,0.6802569943916337,1 Timothy 4:14
have what is the condemnation of this government light has come into the world and,and this is the condemnation that light is come into the world and men loved,0.6794922557142438,John 3:19
the word of god and the testimony of jesus christ by so doing thou hast,word of god and for the testimony of jesus christ,0.6789711653352942,Revelation 1:9
lot ot so shall it be in the days of the coming of the son,but as the days of noe were so shall also the coming of the son of man be,0.6788743355357286,Matthew 24:37
i am unable to say but many are called and few are chosen monday jan,for many are called but few are chosen,0.6780188602436019,Matthew 22:14
at the coming of the son of man what are the signs of the times,the coming of the son of man be,0.6775714994768259,Matthew 24:39
god of abraham and of isaac and of jacob i am he who led the,the god of abraham and of isaac and of jacob the god of our fathers,0.6769319624608874,Acts 3:13
"of the lords prayer ""may thy kingdom come and thy will be done on earth",hallowed be thy name thy kingdom come thy will be done as in heaven so in earth,0.6765500890845635,Luke 11:2
the coming of the son of man wednesday 17 [figures] i received 5 letters from,the coming of the son of man be,0.6762185889419373,Matthew 24:39
living soul died in the sea and the third angel poured out his vial upon,and the second angel poured out his vial upon the sea and it became as,0.6760660666040103,Revelation 16:3
as great a prophet and he that believeth it may be saved and he that,he that believeth and is baptized shall be saved but he that believeth not shall be damned,0.6758143276070995,Mark 16:16
it unto you but if you are faithful the day will come when god will,by the will of god to come unto you,0.6756615927731627,Romans 1:10
thou shalt have a residence in zion and do a great work there thou shalt,for this thou shalt not commit adultery thou shalt not kill thou shalt not steal,0.6754889727804056,Romans 13:9
"can say jesus is the christ but by the holy ghost"" should be translated no",calleth jesus accursed and that no man can say that jesus is the lord but by the holy ghost,0.6752931803352198,1 Corinthians 12:3
this is eternal life to know god and jesus christ whom he has sent and,and this is life eternal that they might know thee the only true god and jesus christ whom thou hast sent,0.6752301405742166,John 17:3
thou shalt be a comfort unto them thou shalt be baptized the day thou art,for this thou shalt not commit adultery thou shalt not kill thou shalt not steal,0.6749785664517862,Romans 13:9
to the 1st of st john the light shineth in darkness and and again the,and the light shineth in darkness and the darkness comprehended it not,0.674056021113681,John 1:5
the birth and life of christ the history of the church of jesus christ of,i of apollos and i of cephas and i of christ,0.6737809277700386,1 Corinthians 1:12
not forgive ^it^ for i cannot if the lord will forgive you i will forgive,for if ye forgive men their trespasses your heavenly father will also forgive you,0.6737075445252729,Matthew 6:14
unto thee thou shalt have part in the first resurrection and thou shalt come forth,whither thou wouldest but when thou shalt be old thou shalt stretch forth thy hands,0.6734884574187554,John 21:18
god we should bring forth fruit and be the friends of god and know what,the dead that we should bring forth fruit unto god,0.6728446030150881,Romans 7:4
say that a woman cannot be saved without a man neither can a man without,nevertheless neither is the man without the woman neither the woman without the man in the lord,0.6722686405835433,1 Corinthians 11:11
and understanding in order to teach and lead people the blind may lead the blind,let them alone they be blind leaders of the blind and if the blind lead,0.6717943945258998,Matthew 15:14
enter into the ears of the lord of sabaoth and be answered upon the heads,entered into the ears of the lord of sabaoth,0.6710793976713496,James 5:4
you be faithful add to your faith virtue to virtue knowledge and seek for evry,and beside this giving all diligence add to your faith virtue and to virtue knowledge,0.6701205119480573,2 Peter 1:5
the father is in the son and the son in the father in the tabernacle,the father shall be divided against the son and the son against the father the,0.6694817760486306,Luke 12:53
thou shalt be a comfort unto them thou shalt be baptized the day thou art,and thou shalt be blessed for they cannot recompense thee for thou shalt be recompensed at the resurrection of the just,0.669361184465931,Luke 14:14
all spoke in the power of god and in the demonstration of the holy ghost,in demonstration of the spirit and of power,0.6692346689512991,1 Corinthians 2:4
lot ot so shall it be in the days of the coming of the son,so shall also the coming of the son of man be,0.669200020940679,Matthew 24:27
much of the power and demonstration of the spirit of god from rev 22 ch,in demonstration of the spirit and of power,0.6686640046796263,1 Corinthians 2:4
god of abraham and of isaac and of jacob i am he who led the,the lord the god of abraham and the god of isaac and the god of jacob,0.6674666164614349,Luke 20:37
b y the difference between us is that we believe that no church is the,upon all them that believe for there is no difference,0.666836320442885,Romans 3:22
high priest after the order of melchisedec he was much affected with the testimony born,called of god an high priest after the order of melchisedec,0.6667117507680365,Hebrews 5:10
all flesh and i believe i am flesh and i believe you are flesh and,all flesh is not the same flesh but there is one kind of flesh of,0.665935531548152,1 Corinthians 15:39
do ye strive o! ye gentiles for this thing ye are only fuel for the,for ye have the poor with you always and whensoever ye will ye may do,0.6649665254467114,Mark 14:7
god of abraham and of isaac and of jacob i am he who led the,i am the god of abraham and the god of isaac and the god of,0.6645338141854188,Matthew 22:32
a people to let our prayers ascend into the ears of the lord of sabaoth,entered into the ears of the lord of sabaoth,0.663844823086939,James 5:4
and the love of god our father and the grace of jesus christ our lord,grace be unto you and peace from god our father and from the lord jesus christ,0.6618036672529313,1 Corinthians 1:3
and the love of god our father and the grace of jesus christ our lord,grace be unto you and peace from god our father and from the lord jesus christ,0.6618036672529313,Philippians 1:2
turn the hearts of the fathers to the children and the hearts of the children,the hearts of the fathers to the children and the disobedient to the wisdom of,0.6610706069342794,Luke 1:17
ye latter day saints do ye not know these things are true you do and,ye do these things ye shall never fall,0.6605548127043765,2 Peter 1:10
the word of god and the preparation for the coming of the son of man,the coming of the son of man be,0.6600188597337912,Matthew 24:39
into my kingdom but he that doeth the will of my father who is in,heaven but he that doeth the will of my father which is in heaven,0.6578050206018587,Matthew 7:21
to understand it that he that gathereth not with us scattereth and they that have,he that is not with me is against me and he that gathereth not with me scattereth,0.657455852652677,Luke 11:23
hen gathereth her chickens under her wings but they would not god and angels dont,her chickens under her wings and ye would not!,0.6571598880700333,Matthew 23:37
bloweth where it listeth and ye hear the sound thereof but cannot tell whence it,the wind bloweth where it listeth and thou hearest the sound thereof but canst not,0.6571430023549473,John 3:8
shall fall away it is impossible to renew them again seeing they have crucified the,if they shall fall away to renew them again unto repentance seeing they crucify to,0.656796798676123,Hebrews 6:6
time restore the kingdom unto israel and jesus said it is not for you to,this time restore again the kingdom to israel,0.6558086375447645,Acts 1:6
upon that there should no sign be given but the sign of the prophet jonas,given unto it but the sign of the prophet jonas and he left them and departed,0.6552273149790723,Matthew 16:4
wait until god gives us the earth a little leaven leavens the whole lump lie,a little leaven leaveneth the whole lump,0.6550496697467814,Galatians 5:9
the gift of the holy ghost and in no other way is the gift of,heavenly gift and were made partakers of the holy ghost,0.6549795504982864,Hebrews 6:4
"power to lay down his life and power to take it again"" when he had",power to lay it down and i have power to take it again this commandment have i received of my father,0.6548588092937401,John 10:18
thou shalt have a residence in zion and do a great work there thou shalt,whither thou wouldest but when thou shalt be old thou shalt stretch forth thy hands,0.6535617004950711,John 21:18
thou shalt have a residence in zion and do a great work there thou shalt,and thou child shalt be called the prophet of the highest for thou shalt go,0.6532359370865513,Luke 1:76
beelzebub the prince of devils and when he was crucifyed they were not satisfyed with,but by beelzebub the prince of the devils,0.6529079320734285,Matthew 12:24
may he be preserved blameless unto the comeing of the lord jesus christ for which,spirit and soul and body be preserved blameless unto the coming of our lord jesus christ,0.652317647752202,1 Thessalonians 5:23
thou shalt labour in the temple of the lord thy god thou shalt teach thy,and thou shalt love the lord thy god with all thy heart and with all,0.6518363095568607,Mark 12:30
not pass away until all should be fulfilled though heaven and earth should pass away,heaven and earth shall pass away but my words shall not pass away,0.6505191157860895,Matthew 24:35
not pass away until all should be fulfilled though heaven and earth should pass away,heaven and earth shall pass away but my words shall not pass away,0.6505191157860895,Mark 13:31
not pass away until all should be fulfilled though heaven and earth should pass away,heaven and earth shall pass away but my words shall not pass away,0.6505191157860895,Luke 21:33
