phrase_woodruff,phrases_scriptures,similarity_scores,verse_title
s t – u – v – w – – x – y z and,and bethzur and shoco and adullam,1.0,2 Chronicles 11:7
s t – u – v – w – – x – y z and,and nogah and nepheg and japhia,1.0,1 Chronicles 14:6
s t – u – v – w – – x – y z and,and mizpeh and chephirah and mozah,1.0,Joshua 18:26
s t – u – v – w – – x – y z and,baalah and iim and azem,1.0,Joshua 15:29
s t – u – v – w – – x – y z and,and ziklag and bethmarcaboth and hazarsusah,1.0,Joshua 19:5
s t – u – v – w – – x – y z and,and janum and bethtappuah and aphekah,1.0,Joshua 15:53
s t – u – v – w – – x – y z and,and hazargaddah and heshmon and bethpalet,1.0,Joshua 15:27
s t – u – v – w – – x – y z and,zenan and hadashah and migdalgad,1.0,Joshua 15:37
s t – u – v – w – – x – y z and,and abdon and zichri and hanan,1.0,1 Chronicles 8:23
s t – u – v – w – – x – y z and,halhul bethzur and gedor,1.0,Joshua 15:58
s t – u – v – w – – x – y z and,and poratha and adalia and aridatha,1.0,Esther 9:8
s t – u – v – w – – x – y z and,eluzai and jerimoth and bealiah and shemariah and shephatiah the haruphite,0.9783641729394567,1 Chronicles 12:5
s t – u – v – w – – x – y z and,elkanah and jesiah and azareel and joezer and jashobeam the korhites,0.9783641729394567,1 Chronicles 12:6
it is better to go to the house of mourning than to the house of,it is better to go to the house of mourning than to go to the,0.9296606081345006,Ecclesiastes 7:2
that it is a son for unto us a child is born unto us a,for unto us a child is born unto us a son is given and the,0.9200523909265279,Isaiah 9:6
feasting for that is the end of all men and the living will lay it,house of feasting for that is the end of all men and the living will lay it to his heart,0.8960861784967501,Ecclesiastes 7:2
the lord gave and the lord hath taken away and blessed be the name of,thither the lord gave and the lord hath taken away blessed be the name of the lord,0.8681184884742068,Job 1:21
"prophet ""that seven women shall take hold of one man saying and[""] at this time",and in that day seven women shall take hold of one man saying we will,0.8400681449335317,Isaiah 4:1
so with jesus he said my god my god why hast thou forsaken me in,my god my god why hast thou forsaken me why art thou so far from,0.8129308447247776,Psalms 22:1
unto us a child is given! unto us a daughter is born phebe whittemore carter,for unto us a child is born unto us a son is given and the,0.8106609382067808,Isaiah 9:6
my son thou hast spoken well i have all thou hast said in my heart,thou hast ravished my heart my sister my spouse thou hast ravished my heart with,0.8040631699440959,Song of Solomon 4:9
s t – u – v – w – – x – y z and,and the sons of tola uzzi and rephaiah and jeriel and jahmai and jibsam and,0.79319625206759,1 Chronicles 7:2
s t – u – v – w – – x – y z and,and the sons of jahdai regem and jotham and geshan and pelet and ephah and shaaph,0.79319625206759,1 Chronicles 2:47
s t – u – v – w – – x – y z and,and zebadiah and meshullam and hezeki and heber,0.7883995833550731,1 Chronicles 8:17
i hold i bless you all in the name of the lord and if you,we bless you in the name of the lord,0.7861759998435811,Psalms 129:8
have unto god i feel to bless you in the name of the lord we,we bless you in the name of the lord,0.7659841538594674,Psalms 129:8
days that god should set his hand again the second time to recover the remnant,hand again the second time to recover the remnant of his people which shall be,0.7635564965971431,Isaiah 11:11
s t – u – v – w – – x – y z and,and the hivites and the perizzites and the girgashites and the amorites and the jebusites,0.7634962917979743,Joshua 3:10
s t – u – v – w – – x – y z and,and the jebusite and the amorite and the girgasite,0.7634962917979743,Genesis 10:16
s t – u – v – w – – x – y z and,and the hittites and the amorites and the perizzites and the hivites and the jebusites,0.7634962917979743,Exodus 3:8
s t – u – v – w – – x – y z and,and the hivite and the arkite and the sinite,0.7634962917979743,Genesis 10:17
s t – u – v – w – – x – y z and,and the hittites and the perizzites and the rephaims,0.7634962917979743,Genesis 15:20
s t – u – v – w – – x – y z and,and the arvadite and the zemarite and the hamathite,0.7634962917979743,1 Chronicles 1:16
s t – u – v – w – – x – y z and,and the hivite and the arkite and the sinite,0.7634962917979743,1 Chronicles 1:15
s t – u – v – w – – x – y z and,and maaseiah and shemaiah and eleazar and uzzi and jehohanan and malchijah and elam and,0.7586119399343917,Nehemiah 12:42
s t – u – v – w – – x – y z and,ataroth and dibon and jazer and nimrah and heshbon and elealeh and shebam and nebo and beon,0.7586119399343917,Numbers 32:3
s t – u – v – w – – x – y z and,shemiramoth and jehonathan and adonijah and tobijah and tobadonijah levites and with them elishama and jehoram priests,0.7492511023655105,2 Chronicles 17:8
perry rockwood was appointed captains over a hundred and 4 captains of fifties and captains,heads over you captains over thousands and captains over hundreds and captains over fifties and,0.7452882509292684,Deuteronomy 1:15
false and i want you for your own sake my sake and for the sake,this city for mine own sake and for my servant david's sake,0.7442523441031421,2 Kings 20:6
thou shalt labour in the temple of the lord thy god thou shalt teach thy,when thou shalt vow a vow unto the lord thy god thou shalt not slack,0.7427188379762069,Deuteronomy 23:21
thou shalt labour in the temple of the lord thy god thou shalt teach thy,and thou shalt rejoice before the lord thy god thou and thy son and thy,0.7406367711080003,Deuteronomy 16:11
upon the earth until the law shall go forth of zion and the word of,of zion shall go forth the law and the word of the lord from jerusalem,0.7405353226171495,Isaiah 2:3
states making a distance in all of five thousand three hundred and fifty one miles,hundred thousand and three thousand and five hundred and fifty,0.7392533109976428,Numbers 2:32
thou shalt labour in the temple of the lord thy god thou shalt teach thy,thou shalt not abhor an edomite for he is thy brother thou shalt not abhor,0.7375473316396683,Deuteronomy 23:7
my son thou hast spoken well i have all thou hast said in my heart,thou hast proved mine heart thou hast visited me in the night thou hast tried,0.7365827761308766,Psalms 17:3
s t – u – v – w – – x – y z and,and shebaniah and jehoshaphat and nethaneel and amasai and zechariah and benaiah and eliezer the,0.7312130424158446,1 Chronicles 15:24
states and canada and visited the following towns and cities towns and cities states towns,bashan and all the towns of jair which are in bashan threescore cities,0.7292363051821511,Joshua 13:30
thou shalt labour in the temple of the lord thy god thou shalt teach thy,but if from thence thou shalt seek the lord thy god thou shalt find him,0.7265692206216753,Deuteronomy 4:29
s t – u – v – w – – x – y z and,ibhar also and elishua and nepheg and japhia,0.7254321685575835,2 Samuel 5:15
s t – u – v – w – – x – y z and,malchiram also and pedaiah and shenazar jecamiah hoshama and nedabiah,0.7254321685575835,1 Chronicles 3:18
thou shalt be a comfort unto them thou shalt be baptized the day thou art,blessed shalt thou be when thou comest in and blessed shalt thou be when thou goest out,0.7250326257923346,Deuteronomy 28:6
of the almighty which giveth the spirit of man understanding it is the greatest testimony,but there is a spirit in man and the inspiration of the almighty giveth them understanding,0.7212591078286895,Job 32:8
thou shalt labour in the temple of the lord thy god thou shalt teach thy,thou shalt be perfect with the lord thy god,0.7211966171111983,Deuteronomy 18:13
of mourning and i could not find a house but what was in mourning i,mourning and to baldness and to girding with sackcloth,0.7207938939000964,Isaiah 22:12
of hundreds captains of fifties and captains of tens with a president and his two,all captains of thousands and captains of hundreds,0.7191935697625755,1 Samuel 22:7
thou shalt be a comfort unto them thou shalt be baptized the day thou art,but with me thou shalt be in safeguard,0.7187255929609355,1 Samuel 22:23
s t – u – v – w – – x – y z and,and jehiel and azaziah and nahath and asahel and jerimoth and jozabad and eliel and,0.7177454374455545,2 Chronicles 31:13
forever upon the earth for i know that my redeemer liveth and he hath this,for i know that my redeemer liveth and that he shall stand at the latter day upon the earth,0.7175836042811955,Job 19:25
with her i walked with her on her return home about a mile she sent,with her suburbs and kirjathaim with her suburbs,0.7147360959886507,1 Chronicles 6:76
with her i walked with her on her return home about a mile she sent,and hilen with her suburbs debir with her suburbs,0.7147360959886507,1 Chronicles 6:58
done better myself and i bless you in the name of the lord with all,we bless you in the name of the lord,0.712279880033185,Psalms 129:8
"and the lord said unto the house of israel ""ye shall be unto me a",for the lord had said unto moses say unto the children of israel ye are,0.7109724597354595,Exodus 33:5
be distinguished by a pillar of fire by night and cloud by day and in,time in a pillar of a cloud and in a pillar of fire by night,0.7108272170550636,Numbers 14:14
thou shalt labour in the temple of the lord thy god thou shalt teach thy,and thou shalt know that thy tabernacle shall be in peace and thou shalt visit thy habitation and shalt not sin,0.709401453015406,Job 5:24
thou shalt labour in the temple of the lord thy god thou shalt teach thy,the lord thy god which thou shalt make thee,0.7087173183114422,Deuteronomy 16:21
thou shalt have a residence in zion and do a great work there thou shalt,of all his prophets and the lord said thou shalt entice him and thou shalt,0.7084307928409486,2 Chronicles 18:21
s t – u – v – w – – x – y z and,and the sons of elioenai were hodaiah and eliashib and pelaiah and akkub and johanan and dalaiah and anani seven,0.7084243184960559,1 Chronicles 3:24
thou shalt labour in the temple of the lord thy god thou shalt teach thy,thou shalt bring of thy land that the lord thy god giveth thee and shalt,0.7062669428468884,Deuteronomy 26:2
the inspiration of the almighty giveth it understanding it is through this principle that this,but there is a spirit in man and the inspiration of the almighty giveth them understanding,0.7062608476861783,Job 32:8
the father is in the son and the son in the father in the tabernacle,jehoshaphat the son of paruah in issachar,0.7035946145854035,1 Kings 4:17
soon administer unto thee and reveal unto thee thy duty yea and give unto thee,unto thee and to thy seed with thee,0.7029593295383871,Numbers 18:19
"and the lord said unto the house of israel ""ye shall be unto me a",of israel unto the king of egypt and ye shall say unto him the lord,0.7026753564786137,Exodus 3:18
thou shalt labour in the temple of the lord thy god thou shalt teach thy,and thou shalt eat there before the lord thy god and thou shalt rejoice thou and thine household,0.7014788033473168,Deuteronomy 14:26
thou shalt be a comfort unto them thou shalt be baptized the day thou art,of all his prophets and the lord said thou shalt entice him and thou shalt,0.7013567926571271,2 Chronicles 18:21
thou shalt be a comfort unto them thou shalt be baptized the day thou art,blessed shalt thou be in the city and blessed shalt thou be in the field,0.7004810253603463,Deuteronomy 28:3
bishop benjamin brown and benjamin lynn clapp and george benjamin wallace and bishop edward hunter,benjamin malluch and shemariah,0.6997925251760447,Ezra 10:32
bishop benjamin brown and benjamin lynn clapp and george benjamin wallace and bishop edward hunter,issachar zebulun and benjamin,0.6997925251760447,Exodus 1:3
to heaven to keep all the commandments and statutes of the lord our god and,statutes and to keep his commandments as at this day,0.698574841923741,1 Kings 8:61
the name of god i also say in the name of the lord that the,the name of the lord god of israel,0.6985533982553779,2 Chronicles 6:7
the name of god i also say in the name of the lord that the,the name of the lord god of israel,0.6985533982553779,1 Kings 8:17
thou shalt labour in the temple of the lord thy god thou shalt teach thy,thou shalt fear the lord thy god him shalt thou serve and to him shalt thou cleave and swear by his name,0.6982411495037042,Deuteronomy 10:20
"and the lord said unto the house of israel ""ye shall be unto me a",of the nations concerning which the lord said unto the children of israel ye shall,0.6973118638041295,1 Kings 11:2
thou shalt have a residence in zion and do a great work there thou shalt,six days thou shalt work but on the seventh day thou shalt rest in earing time and in harvest thou shalt rest,0.6973065032583057,Exodus 34:21
but it would be in the days of the sixth or seventh king from him,attai the sixth eliel the seventh,0.6970863225500895,1 Chronicles 12:11
to be a king in the kingdom of god what be king in heaven and,of sihon king of the amorites and the kingdom of og king of bashan the,0.6963991069608159,Numbers 32:33
that this was the dispensation in which the father would restore the kingdom to israel,israel restore me the kingdom of my father,0.6962662101009118,2 Samuel 16:3
thou shalt have a residence in zion and do a great work there thou shalt,and thou shalt grope at noonday as the blind gropeth in darkness and thou shalt,0.6961764837480553,Deuteronomy 28:29
thou shalt be a comfort unto them thou shalt be baptized the day thou art,be that what thing soever thou shalt hear out of the king's house thou shalt,0.6956132508716204,2 Samuel 15:35
wise child was better than an old and foolish king i could pick out many,better is a poor and a wise child than an old and foolish king who will no more be admonished,0.6955267864298001,Ecclesiastes 4:13
saints will hearken unto my voice and the counsel of my servants the wicked shall,hearken now unto my voice i will give thee counsel and god shall be with,0.6945791667397336,Exodus 18:19
chargeable to no man as thou knowest for thou knowest all our ways thou hast,according unto all his ways whose heart thou knowest for thou only knowest the hearts of the children of men,0.6942840429933933,2 Chronicles 6:30
with her i walked with her on her return home about a mile she sent,and heshbon with her suburbs and jazer with her suburbs,0.6939500109547255,1 Chronicles 6:81
with her i walked with her on her return home about a mile she sent,and holon with her suburbs and debir with her suburbs,0.6939500109547255,Joshua 21:15
with her i walked with her on her return home about a mile she sent,and ashan with her suburbs and bethshemesh with her suburbs,0.6939500109547255,1 Chronicles 6:59
with her i walked with her on her return home about a mile she sent,and hukok with her suburbs and rehob with her suburbs,0.6939500109547255,1 Chronicles 6:75
with her i walked with her on her return home about a mile she sent,and ramoth with her suburbs and anem with her suburbs,0.6939500109547255,1 Chronicles 6:73
with her i walked with her on her return home about a mile she sent,and jattir with her suburbs and eshtemoa with her suburbs,0.6939500109547255,Joshua 21:14
with her i walked with her on her return home about a mile she sent,and aijalon with her suburbs and gathrimmon with her suburbs,0.6939500109547255,1 Chronicles 6:69
with her i walked with her on her return home about a mile she sent,and jokmeam with her suburbs and bethhoron with her suburbs,0.6939500109547255,1 Chronicles 6:68
little foxes that spoil the vines we have a prophet for a leader now pay,take us the foxes the little foxes that spoil the vines for our vines have tender grapes,0.6936328889953741,Song of Solomon 2:15
this house unto thee in a manner which may be acceptable unto thee lord we,against thee unto the lord and it be sin unto thee,0.693369467510068,Deuteronomy 24:15
s t – u – v – w – – x – y z and,and ishpan and heber and eliel,0.692984691829662,1 Chronicles 8:22
vane for i am the lord your god even the god of your fathers the,to be your god i am the lord your god,0.6918421640816096,Numbers 15:41
thou shalt have a residence in zion and do a great work there thou shalt,and thou shalt bring the levites before the tabernacle of the congregation and thou shalt,0.6908216884323363,Numbers 8:9
perry rockwood was appointed captains over a hundred and 4 captains of fifties and captains,and he will appoint him captains over thousands and captains over fifties and will set,0.6907745001250434,1 Samuel 8:12
thou shalt be a comfort unto them thou shalt be baptized the day thou art,and thou shalt dwell in the land of goshen and thou shalt be near unto,0.6901576344550203,Genesis 45:10
thou shalt have a residence in zion and do a great work there thou shalt,six days thou shalt do thy work and on the seventh day thou shalt rest,0.6900715096000113,Exodus 23:12
thou shalt be a comfort unto them thou shalt be baptized the day thou art,and thou shalt bring the levites before the tabernacle of the congregation and thou shalt,0.6892942459783722,Numbers 8:9
their wives wives their husbands children their parents and parents their children brothers their sisters,their wives and their sons and their little children,0.6890997906452639,Numbers 16:27
i returned to the city i blessed my grand son the son of henry woodruff,uthai the son of ammihud the son of omri the son of imri the son,0.6890875271171854,1 Chronicles 9:4
i returned to the city i blessed my grand son the son of henry woodruff,seraiah the son of hilkiah the son of meshullam the son of zadok the son,0.6890875271171854,Nehemiah 11:11
unto thee thou shalt have part in the first resurrection and thou shalt come forth,thou shalt have a place also without the camp whither thou shalt go forth abroad,0.6888297207149037,Deuteronomy 23:12
two divisions one on the right and the other on the left the right hand,the other on the left and called the name of that on the right hand,0.6887494802472593,2 Chronicles 3:17
s t – u – v – w – – x – y z and,and the sons of asher jimnah and ishuah and isui and beriah and serah their,0.6876026348457163,Genesis 46:17
states making a distance in all of five thousand three hundred and fifty one miles,for six hundred thousand and three thousand and five hundred and fifty men,0.6873563489066377,Exodus 38:26
thou shalt labour in the temple of the lord thy god thou shalt teach thy,of all his prophets and the lord said thou shalt entice him and thou shalt,0.6862381729416327,2 Chronicles 18:21
thou shalt have a residence in zion and do a great work there thou shalt,thou shalt not abhor an edomite for he is thy brother thou shalt not abhor,0.6858721840472918,Deuteronomy 23:7
chargeable to no man as thou knowest for thou knowest all our ways thou hast,every man according to his ways whose heart thou knowest for thou even thou only,0.6854907687642975,1 Kings 8:39
thou shalt be a comfort unto them thou shalt be baptized the day thou art,thou shalt not abhor an edomite for he is thy brother thou shalt not abhor,0.6853539320587791,Deuteronomy 23:7
thou shalt be a comfort unto them thou shalt be baptized the day thou art,cursed shalt thou be when thou comest in and cursed shalt thou be when thou goest out,0.6850113983863928,Deuteronomy 28:19
repent of all his sins and be baptized for the remission of his sins then,for all the sins of baasha and the sins of elah his son by which,0.6849697420005497,1 Kings 16:13
thou shalt be a comfort unto them thou shalt be baptized the day thou art,and joab said unto him thou shalt not bear tidings this day but thou shalt,0.6843458392287098,2 Samuel 18:20
"and addressed the assembly from the following words ""what is man that thou art mindful",what is man that thou art mindful of him and the son of man that thou visitest him,0.6838896758523783,Psalms 8:4
i returned to the city i blessed my grand son the son of henry woodruff,the son of amzi the son of bani the son of shamer,0.6830808951874693,1 Chronicles 6:46
i returned to the city i blessed my grand son the son of henry woodruff,the son of amariah the son of azariah the son of meraioth,0.6830808951874693,Ezra 7:3
i returned to the city i blessed my grand son the son of henry woodruff,the son of hashabiah the son of amaziah the son of hilkiah,0.6830808951874693,1 Chronicles 6:45
i returned to the city i blessed my grand son the son of henry woodruff,the son of elkanah the son of jeroham the son of eliel the son of toah,0.6830808951874693,1 Chronicles 6:34
i returned to the city i blessed my grand son the son of henry woodruff,the son of zerahiah the son of uzzi the son of bukki,0.6830808951874693,Ezra 7:4
i returned to the city i blessed my grand son the son of henry woodruff,the son of zuph the son of elkanah the son of mahath the son of amasai,0.6830808951874693,1 Chronicles 6:35
i returned to the city i blessed my grand son the son of henry woodruff,maasiai the son of adiel the son of jahzerah the son of meshullam the son of meshillemith the son of immer,0.6830808951874693,1 Chronicles 9:12
i returned to the city i blessed my grand son the son of henry woodruff,joed the son of pedaiah the son of kolaiah the son of maaseiah the son of ithiel the son of jesaiah,0.6830808951874693,Nehemiah 11:7
i returned to the city i blessed my grand son the son of henry woodruff,the son of shallum the son of zadok the son of ahitub,0.6830808951874693,Ezra 7:2
the name of the lord god of israel keep the word of wisdom erastus snow,the name of the lord god of israel,0.6822220080443032,1 Kings 8:17
the name of the lord god of israel keep the word of wisdom erastus snow,the name of the lord god of israel,0.6822220080443032,2 Chronicles 6:7
i returned to the city i blessed my grand son the son of henry woodruff,and ziza the son of shiphi the son of allon the son of jedaiah the son of shimri the son of shemaiah,0.6822095754452809,1 Chronicles 4:37
i returned to the city i blessed my grand son the son of henry woodruff,son of shemaiah the son of mattaniah the son of michaiah the son of zaccur the son of asaph,0.6821575798140191,Nehemiah 12:35
thou shalt be a comfort unto them thou shalt be baptized the day thou art,if thou be wise thou shalt be wise for thyself but if thou scornest thou alone shalt bear it,0.6818534789748655,Proverbs 9:12
i returned to the city i blessed my grand son the son of henry woodruff,son of azareel the son of ahasai the son of meshillemoth the son of immer,0.6817329027625381,Nehemiah 11:13
thou shalt be a comfort unto them thou shalt be baptized the day thou art,and thou shalt grope at noonday as the blind gropeth in darkness and thou shalt,0.6810216682892797,Deuteronomy 28:29
i returned to the city i blessed my grand son the son of henry woodruff,son of jair the son of shimei the son of kish a benjamite,0.6808491434071068,Esther 2:5
i returned to the city i blessed my grand son the son of henry woodruff,michri and meshullam the son of shephathiah the son of reuel the son of ibnijah,0.6806687609375283,1 Chronicles 9:8
i returned to the city i blessed my grand son the son of henry woodruff,and abda the son of shammua the son of galal the son of jeduthun,0.6806687609375283,Nehemiah 11:17
month the first day of the month and the first day of the week which,and in the seventh month on the first day of the month ye shall have,0.6803437154783196,Numbers 29:1
days of noah the daughters of noah married out of the church in some instances,the daughters of zelophehad were mahlah and noah hoglah milcah and tirzah,0.6802276310750331,Numbers 26:33
wives 7 sons 6 daughters 7 grand sons and 6 grand daughters we had our,his sons and his sons' sons with him his daughters and his sons' daughters and,0.6800720203582848,Genesis 46:7
my son thou hast spoken well i have all thou hast said in my heart,thou in thy mercy hast led forth the people which thou hast redeemed thou hast,0.6800579199264182,Exodus 15:13
i returned to the city i blessed my grand son the son of henry woodruff,and azariah the son of hilkiah the son of meshullam the son of zadok the,0.6796690776368951,1 Chronicles 9:11
i returned to the city i blessed my grand son the son of henry woodruff,and maaseiah the son of baruch the son of colhozeh the son of hazaiah the,0.6796690776368951,Nehemiah 11:5
s t – u – v – w – – x – y z and,and hashubah and ohel and berechiah and hasadiah jushabhesed five,0.6792342167276573,1 Chronicles 3:20
placed them on his left hand and ourselves on his right and set down upon,and maaseiah on his right hand and on his left hand pedaiah and mishael and,0.6785514507230168,Nehemiah 8:4
s t – u – v – w – – x – y z and,and jehiel and unni eliab and benaiah and maaseiah and mattithiah and elipheleh and mikneiah and obededom and jeiel the porters,0.6781427343802692,1 Chronicles 15:18
day x x x x x x x x x x x x x x,also day by day from the first day unto the last day he read in,0.6780547106834106,Nehemiah 8:18
i returned to the city i blessed my grand son the son of henry woodruff,eliphelet the son of ahasbai the son of the maachathite eliam the son of ahithophel the gilonite,0.6779360729800972,2 Samuel 23:34
i returned to the city i blessed my grand son the son of henry woodruff,jozabad the son of jeshua and noadiah the son of binnui levites,0.6776892239275719,Ezra 8:33
from under heaven for thou hast not kept the commandments of the lord but hast,o lord thou hast brought up my soul from the grave thou hast kept me,0.6776394526704901,Psalms 30:3
you and your shilo will come and s^t^and in your midst and will fight your,and he will take your menservants and your maidservants and your goodliest young men and,0.6772417002297612,1 Samuel 8:16
shalt live to honor thy parents and the priesthood thou shalt lay thy hands upon,and by thy sword shalt thou live and shalt serve thy brother and it shall,0.6771886321904186,Genesis 27:40
perry rockwood was appointed captains over a hundred and 4 captains of fifties and captains,all captains of thousands and captains of hundreds,0.6771282781278557,1 Samuel 22:7
soon administer unto thee and reveal unto thee thy duty yea and give unto thee,against thee unto the lord and it be sin unto thee,0.6768135836340885,Deuteronomy 24:15
days of noah the daughters of noah married out of the church in some instances,daughters mahlah and noah hoglah milcah and tirzah,0.6765935134042035,Joshua 17:3
elder have sons and daughters her sons should be the priests of god and live,his sons and his sons' sons with him his daughters and his sons' daughters and,0.6759700122398963,Genesis 46:7
the father is in the son and the son in the father in the tabernacle,and the son of shammai was maon and maon was the father of bethzur,0.6749578137876471,1 Chronicles 2:45
i returned to the city i blessed my grand son the son of henry woodruff,and adaiah the son of jeroham the son of pashur the son of malchijah and,0.6735828484219814,1 Chronicles 9:12
i returned to the city i blessed my grand son the son of henry woodruff,and ibneiah the son of jeroham and elah the son of uzzi the son of,0.6735828484219814,1 Chronicles 9:8
i returned to the city i blessed my grand son the son of henry woodruff,the son of nethaniah and johanan the son of careah and seraiah the son of,0.6735828484219814,2 Kings 25:23
thou shalt be a comfort unto them thou shalt be baptized the day thou art,when thou shalt vow a vow unto the lord thy god thou shalt not slack,0.6735616174307073,Deuteronomy 23:21
nauvoo from one thousand to twelve hundred men had came against one hundred of the,the syrians an hundred thousand footmen in one day,0.6735335521575949,1 Kings 20:29
of the lord bring an offering to the lord i wil make an offering to,of the ground an offering unto the lord,0.6732710766355408,Genesis 4:3
i returned to the city i blessed my grand son the son of henry woodruff,and mattaniah the son of micha the son of zabdi the son of asaph was,0.6732652614824292,Nehemiah 11:17
in the apostleship and thou shalt live and not die thy body shall not be,in order for thou shalt die and not live,0.673037594503307,2 Kings 20:1
unto thee thou shalt have part in the first resurrection and thou shalt come forth,of all his prophets and the lord said thou shalt entice him and thou shalt,0.672823390060089,2 Chronicles 18:21
i returned to the city i blessed my grand son the son of henry woodruff,my son absalom o absalom my son my son!,0.6722708874643137,2 Samuel 19:4
